hour,day,temperature,weather,rides
17,Friday,38.42051387893116,Sunny,264
3,Wednesday,28.759139806418435,Sunny,131
13,Monday,33.502681778248444,Sunny,217
17,Tuesday,28.36773957643474,Sunny,277
8,Thursday,24.531953427221218,Rainy,131
20,Wednesday,29.82460354897752,Sunny,233
1,Wednesday,26.590043577758752,Rainy,19
19,Monday,27.924275878957904,Sunny,228
14,Saturday,33.51497660256586,Rainy,226
6,Thursday,24.427114943469547,Cloudy,95
11,Friday,11.222623182774182,Sunny,90
7,Wednesday,14.919984429684916,Rainy,55
14,Monday,23.15821649468615,Cloudy,195
2,Friday,31.74479679622175,Sunny,118
13,Saturday,27.798359449305362,Sunny,207
16,Thursday,29.508825576203616,Sunny,211
3,Saturday,24.37836785728862,Rainy,71
17,Wednesday,28.472260658267285,Rainy,210
7,Friday,19.870523134439864,Cloudy,75
3,Friday,24.105477780899953,Rainy,13
1,Friday,32.32837196784867,Rainy,75
5,Wednesday,36.15498336919363,Sunny,142
21,Wednesday,23.00966001869167,Sunny,236
9,Saturday,11.309849731220837,Sunny,95
3,Tuesday,14.85017632440408,Sunny,19
21,Saturday,10.625834178746143,Sunny,205
17,Thursday,29.5978905771199,Sunny,212
11,Monday,19.96943876065327,Sunny,127
1,Friday,26.274359071581024,Cloudy,65
9,Tuesday,24.798305403513986,Cloudy,129
3,Monday,12.4457946865728,Cloudy,21
13,Tuesday,22.097840833714955,Cloudy,135
15,Sunday,16.6168337476697,Sunny,157
14,Saturday,22.55199366002958,Cloudy,187
7,Wednesday,16.10734841026728,Sunny,58
13,Friday,35.21357218830801,Cloudy,205
22,Saturday,15.225800097347609,Rainy,220
7,Monday,38.82341654460931,Cloudy,164
20,Sunday,22.477220984408223,Cloudy,227
15,Sunday,35.38735876057148,Sunny,265
12,Sunday,28.862944546178355,Cloudy,211
17,Monday,32.06050895997258,Rainy,233
14,Monday,33.03171664200341,Sunny,238
20,Monday,25.145346456790534,Sunny,254
23,Monday,26.29901570089865,Cloudy,268
12,Sunday,25.419876034261748,Sunny,205
8,Sunday,27.641751342702378,Sunny,167
14,Tuesday,10.881833372695219,Sunny,116
12,Saturday,21.86545509547046,Sunny,160
0,Friday,28.185661406835145,Sunny,61
6,Wednesday,27.93170695767593,Sunny,127
8,Sunday,33.788682838168945,Rainy,175
23,Wednesday,29.650280164963256,Cloudy,262
0,Saturday,39.76399949022017,Rainy,120
11,Saturday,18.51563585825935,Sunny,123
7,Wednesday,20.774530889986945,Sunny,97
23,Sunday,21.51541455603389,Cloudy,263
10,Wednesday,23.974384210607454,Rainy,143
18,Tuesday,35.079941913436286,Cloudy,267
16,Thursday,17.073762818776295,Rainy,151
7,Sunday,33.28000621106288,Sunny,228
2,Sunday,22.1593054925723,Cloudy,54
2,Friday,28.055661509860254,Cloudy,78
0,Monday,28.976215996789183,Sunny,41
4,Thursday,21.18545911566803,Cloudy,62
9,Saturday,25.378456156174153,Rainy,172
6,Sunday,22.39093523943091,Rainy,79
8,Wednesday,12.073983585598583,Rainy,12
6,Thursday,23.114961664504797,Rainy,63
8,Friday,12.921801776606564,Sunny,105
7,Saturday,22.150623972409647,Cloudy,136
11,Monday,27.787551994953457,Rainy,120
1,Monday,27.382446980305023,Sunny,96
0,Friday,29.87863837024961,Cloudy,26
15,Friday,12.857845238638788,Cloudy,167
22,Wednesday,29.563697365913136,Sunny,304
22,Sunday,19.364441700893412,Sunny,302
23,Monday,21.971378384113333,Rainy,196
4,Saturday,35.739587617681174,Cloudy,162
2,Thursday,10.270912123886507,Cloudy,0
11,Saturday,27.652379000218165,Sunny,178
7,Tuesday,27.961419403003227,Cloudy,93
21,Tuesday,21.89979329030686,Rainy,219
2,Friday,17.110835713250086,Cloudy,27
0,Wednesday,17.04022114784653,Sunny,31
2,Tuesday,36.51129008982258,Sunny,112
4,Monday,23.260731213485727,Rainy,43
14,Saturday,19.926680889675158,Rainy,131
13,Saturday,23.46332721494209,Cloudy,218
2,Friday,30.08171204378084,Cloudy,81
0,Sunday,14.372697047342552,Sunny,36
4,Sunday,23.483015056412132,Rainy,92
22,Thursday,27.636531133311607,Rainy,277
13,Friday,38.457500645543014,Rainy,195
6,Thursday,17.57583346226258,Cloudy,71
8,Sunday,20.777522437487367,Rainy,103
14,Friday,21.380757697672713,Sunny,209
14,Friday,28.166144729346485,Sunny,184
9,Friday,20.70196159120005,Cloudy,126
12,Sunday,26.00535775899087,Cloudy,197
18,Thursday,33.45370989535088,Rainy,243
6,Thursday,31.161567823366106,Cloudy,126
16,Friday,23.391059395377567,Sunny,223
19,Tuesday,35.92648533022506,Rainy,264
3,Wednesday,26.744207487815885,Sunny,53
4,Sunday,26.197175185066374,Rainy,115
22,Wednesday,11.025632978174745,Cloudy,205
6,Wednesday,39.600789410714846,Rainy,159
12,Thursday,13.689124255888801,Rainy,55
14,Thursday,16.933927372829398,Sunny,125
10,Tuesday,11.550905117245808,Sunny,40
3,Wednesday,29.20008900510741,Rainy,75
12,Wednesday,16.7410353091804,Cloudy,86
6,Friday,15.400313124181704,Cloudy,12
18,Thursday,12.656667526697241,Sunny,188
21,Wednesday,13.09926871372047,Cloudy,200
1,Saturday,27.540121013277663,Sunny,91
9,Tuesday,30.646235975997865,Cloudy,150
12,Saturday,21.921369653932032,Rainy,101
20,Saturday,24.396912447762197,Sunny,290
5,Sunday,30.579032079489522,Sunny,139
11,Sunday,10.521393705564389,Rainy,89
11,Tuesday,19.693919712108357,Sunny,78
19,Saturday,39.19293244211039,Cloudy,345
10,Wednesday,27.403366890864042,Cloudy,131
22,Thursday,17.626737396924796,Sunny,200
6,Tuesday,25.651901399086395,Cloudy,91
0,Friday,20.279604643627458,Sunny,9
0,Saturday,25.967349664788973,Rainy,71
19,Tuesday,13.772245354199466,Sunny,170
12,Monday,13.98143961457832,Rainy,107
8,Monday,14.306270861181787,Cloudy,68
2,Sunday,38.19459375780525,Rainy,148
6,Thursday,31.986967550240255,Cloudy,129
5,Wednesday,14.871456839869627,Sunny,69
7,Thursday,15.650472512968044,Cloudy,35
8,Thursday,31.92488424612629,Sunny,161
4,Thursday,14.68491534376522,Sunny,25
0,Thursday,17.036838800044862,Rainy,3
18,Friday,38.90040498461197,Rainy,294
9,Friday,17.659195741852955,Rainy,68
11,Sunday,29.848970511134404,Rainy,153
23,Tuesday,39.35893862201591,Cloudy,345
14,Monday,21.22890301419378,Cloudy,122
21,Thursday,10.525479725861867,Cloudy,205
23,Sunday,17.32441871267123,Sunny,257
8,Tuesday,34.92631574025116,Cloudy,164
19,Monday,35.9382650786511,Cloudy,266
16,Saturday,33.055580935713735,Cloudy,247
16,Wednesday,13.39329457229719,Rainy,131
19,Friday,33.8653111508921,Cloudy,266
11,Saturday,37.560333909805124,Sunny,248
6,Monday,28.018286276387084,Rainy,70
1,Saturday,38.22626069014194,Sunny,168
2,Wednesday,34.80516651135632,Cloudy,123
16,Sunday,30.00914550972722,Rainy,225
4,Monday,27.315557101352443,Sunny,121
16,Saturday,20.457210017259115,Cloudy,200
23,Friday,14.778623357284154,Sunny,239
16,Friday,28.148617680716224,Sunny,188
16,Tuesday,19.543346608543587,Sunny,184
1,Saturday,35.99316002582936,Cloudy,124
1,Thursday,39.80010812075885,Cloudy,122
21,Saturday,32.572832878467175,Sunny,325
22,Sunday,12.714450858611523,Rainy,206
4,Monday,18.66056786591914,Rainy,35
0,Monday,13.273288952972493,Cloudy,0
0,Sunday,29.515349433751474,Cloudy,98
18,Saturday,32.955725936673545,Cloudy,309
1,Sunday,37.770244926421356,Cloudy,110
20,Wednesday,23.14517039235963,Cloudy,210
11,Sunday,37.041269487653324,Rainy,200
5,Friday,36.336734771239826,Cloudy,119
22,Sunday,19.515871502961957,Sunny,258
3,Monday,36.06701876621713,Sunny,150
22,Friday,21.270167556451796,Rainy,245
10,Monday,18.906078236808423,Sunny,116
23,Tuesday,29.47223976383179,Rainy,260
16,Thursday,19.85143683655243,Rainy,165
5,Monday,28.906262449874326,Sunny,67
23,Friday,28.294954164960835,Cloudy,260
4,Tuesday,26.903167820453763,Sunny,48
19,Monday,21.41259112698393,Sunny,195
1,Wednesday,26.454991649544304,Rainy,16
5,Sunday,27.89456424956265,Sunny,169
21,Thursday,26.370606654864204,Rainy,176
10,Monday,23.332583582536046,Cloudy,118
15,Tuesday,10.440011711387914,Cloudy,124
15,Wednesday,27.611851231034528,Cloudy,206
0,Saturday,15.05333155428159,Sunny,54
8,Tuesday,29.277279068415687,Rainy,119
5,Sunday,32.78032983768598,Cloudy,161
15,Tuesday,25.013359273922244,Rainy,128
2,Wednesday,26.27090994939215,Rainy,21
19,Tuesday,38.54435678997973,Cloudy,257
3,Wednesday,35.415020841177224,Cloudy,128
18,Monday,37.427095478544096,Rainy,264
2,Wednesday,34.41298864958759,Cloudy,108
18,Wednesday,13.267550255401943,Rainy,118
19,Thursday,14.469755679105841,Rainy,132
6,Wednesday,25.79871391806879,Cloudy,103
19,Wednesday,17.38208976393995,Sunny,183
8,Saturday,24.300864251234774,Cloudy,121
0,Monday,21.830959714550506,Sunny,18
7,Sunday,26.4824271529136,Rainy,109
6,Thursday,32.40627148407468,Rainy,94
17,Saturday,31.464727212978232,Sunny,252
7,Friday,25.63702397456003,Rainy,97
0,Monday,34.671802564511744,Sunny,124
10,Monday,22.925862746141,Sunny,133
17,Friday,36.90142869520367,Rainy,248
22,Sunday,12.138408101654917,Sunny,241
9,Wednesday,38.63980090099922,Cloudy,200
2,Saturday,29.640792442940445,Cloudy,91
6,Tuesday,21.402235268116158,Rainy,91
15,Thursday,15.91462379718632,Rainy,104
15,Tuesday,24.375496883307996,Sunny,204
19,Friday,15.836749695559028,Sunny,199
16,Monday,14.989948232294264,Sunny,115
1,Sunday,28.520552722389226,Sunny,95
0,Monday,25.69254173745354,Cloudy,39
15,Thursday,30.10288103832825,Cloudy,213
11,Monday,37.888176322659675,Rainy,195
4,Monday,25.967806400171206,Sunny,104
4,Thursday,27.427961597883932,Sunny,96
22,Saturday,12.688790174648263,Rainy,210
8,Saturday,31.529073577258885,Sunny,186
8,Thursday,21.997156204124686,Sunny,89
2,Sunday,39.30175715987737,Sunny,167
18,Friday,34.69522046786981,Sunny,288
15,Monday,25.67443121548355,Sunny,220
15,Sunday,13.696679625164982,Rainy,149
2,Monday,35.78247379841767,Sunny,145
19,Friday,33.99343286272065,Rainy,258
23,Saturday,15.53755388611099,Sunny,274
21,Sunday,18.858348676609303,Cloudy,263
23,Wednesday,33.80221774443512,Cloudy,304
0,Wednesday,15.55685339642229,Cloudy,2
23,Wednesday,37.53257467514132,Cloudy,308
19,Saturday,22.735822755890858,Rainy,230
10,Saturday,12.611168877629758,Rainy,94
16,Friday,34.472459305128424,Sunny,273
7,Monday,21.20529049115163,Cloudy,102
3,Friday,25.79497582461343,Rainy,70
5,Friday,13.369130332336574,Sunny,34
7,Saturday,10.077520445349471,Sunny,63
19,Wednesday,29.13955617379893,Rainy,220
2,Tuesday,25.455255110011947,Cloudy,62
15,Monday,27.806157073694415,Sunny,172
2,Saturday,33.81231551141549,Cloudy,155
17,Wednesday,29.398177402685803,Cloudy,227
13,Sunday,15.243203284821316,Cloudy,137
17,Tuesday,20.823175573317997,Sunny,143
1,Tuesday,37.17673314363281,Cloudy,105
21,Saturday,33.09834100755037,Sunny,321
2,Thursday,26.699111738101518,Cloudy,45
15,Monday,17.66934993427817,Sunny,144
8,Tuesday,19.06181505504385,Cloudy,84
3,Saturday,31.958742027569038,Rainy,98
0,Saturday,35.53522782558312,Cloudy,129
3,Wednesday,30.142740085918433,Cloudy,75
0,Sunday,34.28589927305325,Sunny,124
13,Thursday,32.99968405601218,Sunny,238
20,Monday,14.491119038708732,Cloudy,181
15,Friday,22.71834438739906,Rainy,160
19,Sunday,14.58951402485688,Rainy,188
23,Sunday,17.057067544059542,Sunny,265
7,Wednesday,36.07778873953158,Rainy,139
6,Tuesday,24.186758968995463,Cloudy,79
2,Tuesday,26.060743055279826,Sunny,73
16,Wednesday,15.353378956833163,Cloudy,141
0,Saturday,19.36815358146388,Sunny,77
15,Tuesday,16.907385052836098,Sunny,170
11,Thursday,16.185584935552793,Sunny,81
18,Monday,29.138823799479102,Sunny,217
21,Sunday,17.706515429371443,Rainy,215
22,Sunday,28.960464580612555,Cloudy,296
21,Thursday,11.753638423256618,Cloudy,175
13,Tuesday,14.253231805813055,Cloudy,124
5,Sunday,18.23620762000376,Sunny,97
5,Friday,27.91140750687075,Rainy,85
12,Monday,30.27523735262128,Cloudy,210
18,Monday,23.281509003385814,Rainy,158
21,Sunday,23.37372743731687,Sunny,278
7,Wednesday,31.735505541958542,Cloudy,127
1,Sunday,10.474632752967473,Rainy,11
20,Wednesday,20.23270073422662,Sunny,176
0,Sunday,34.56121171357698,Rainy,49
14,Friday,28.096582306401167,Cloudy,196
0,Saturday,20.116813982662613,Cloudy,63
4,Monday,37.16574376989021,Sunny,161
15,Sunday,33.178681823481476,Sunny,249
18,Friday,17.946863417102,Sunny,219
3,Wednesday,29.358695125771508,Rainy,42
2,Wednesday,27.8725218456687,Rainy,75
16,Monday,22.035637421169483,Rainy,138
16,Thursday,21.00868237614402,Sunny,178
11,Sunday,20.30681424327112,Cloudy,164
13,Tuesday,28.514673501869403,Cloudy,153
20,Wednesday,23.272298094420087,Rainy,235
5,Saturday,34.95589339754266,Rainy,137
2,Saturday,30.088078484018858,Cloudy,113
8,Wednesday,12.097948171283024,Cloudy,73
4,Thursday,29.205046714844983,Rainy,60
23,Thursday,18.134423095005545,Rainy,231
16,Friday,27.78435974960268,Cloudy,241
13,Saturday,30.40395793310354,Sunny,218
20,Friday,16.924875674620363,Rainy,202
2,Saturday,23.70575934641106,Cloudy,43
0,Sunday,15.709745884572033,Cloudy,26
19,Sunday,11.57016627359525,Cloudy,163
20,Tuesday,21.35429270457607,Cloudy,235
22,Sunday,20.88832815537976,Sunny,291
0,Tuesday,39.864414721127716,Cloudy,150
2,Sunday,23.390570535929264,Rainy,85
17,Monday,20.007086484166013,Sunny,186
9,Sunday,27.414250201500238,Cloudy,145
21,Friday,12.663021823233054,Sunny,204
2,Wednesday,38.8499720786444,Rainy,103
7,Friday,29.048801367730995,Cloudy,156
13,Wednesday,32.64513459822543,Rainy,139
23,Thursday,15.114338145217527,Cloudy,259
17,Friday,22.284335590156118,Cloudy,202
14,Thursday,22.680673401885684,Cloudy,147
21,Tuesday,34.65419331703261,Cloudy,307
22,Tuesday,10.037100392782284,Cloudy,206
1,Monday,19.02559325059765,Sunny,27
9,Sunday,39.437091230329116,Cloudy,191
1,Friday,24.246596305186557,Cloudy,35
16,Thursday,21.47578840732025,Sunny,208
7,Wednesday,13.594870060529392,Sunny,67
0,Tuesday,39.22493885884047,Sunny,112
8,Sunday,10.600790677774734,Sunny,109
10,Tuesday,32.11540675021729,Sunny,195
21,Wednesday,33.05799414365525,Sunny,311
15,Sunday,17.309701481916,Cloudy,168
6,Sunday,30.14675330839112,Cloudy,140
9,Thursday,12.787874331381698,Rainy,9
22,Thursday,17.711417992962396,Cloudy,213
2,Friday,33.637059648767945,Cloudy,116
17,Friday,35.940585761006204,Sunny,265
23,Saturday,28.25459237979374,Sunny,330
12,Saturday,25.205152954614476,Cloudy,208
6,Monday,14.779120618569408,Rainy,31
3,Tuesday,11.893270992374505,Sunny,18
12,Friday,13.529470854206759,Cloudy,70
19,Thursday,16.820719002882964,Cloudy,177
0,Wednesday,20.250235056907627,Rainy,25
7,Thursday,21.427285765329614,Rainy,69
13,Tuesday,20.389653057670106,Sunny,189
15,Saturday,17.171659965917968,Rainy,141
13,Thursday,25.291727402550944,Cloudy,171
11,Monday,34.7585832469869,Cloudy,186
18,Tuesday,18.391106154144374,Rainy,173
22,Saturday,38.271610573066994,Rainy,349
14,Wednesday,36.200099851715436,Rainy,223
1,Saturday,14.852926340563288,Rainy,25
1,Sunday,33.588278702712834,Sunny,127
22,Monday,27.237621469533,Rainy,242
21,Tuesday,26.997260865142557,Sunny,229
18,Wednesday,21.73128289174523,Cloudy,211
21,Monday,25.034589975460293,Rainy,228
21,Saturday,21.91536332287633,Sunny,268
16,Monday,26.191978562798283,Rainy,177
19,Tuesday,28.838501583179074,Cloudy,243
9,Friday,30.229114192271453,Cloudy,146
5,Monday,25.974435776782784,Cloudy,79
14,Sunday,31.64266201986195,Rainy,223
21,Monday,14.238341478265173,Rainy,180
10,Saturday,16.359474727067155,Sunny,116
4,Saturday,34.5620501222281,Cloudy,144
0,Wednesday,19.675839335392453,Rainy,0
7,Saturday,10.686814749283608,Cloudy,63
20,Thursday,14.613734490040933,Cloudy,180
11,Tuesday,16.70843303488934,Sunny,126
11,Tuesday,38.719686636837615,Sunny,190
4,Friday,27.191242867925478,Sunny,66
6,Friday,37.98192221428764,Sunny,173
3,Tuesday,27.254900514898747,Cloudy,64
5,Sunday,24.380633204135552,Sunny,139
12,Friday,19.411830735822882,Sunny,160
19,Wednesday,28.191128333001267,Sunny,255
14,Saturday,14.175940738525895,Sunny,139
2,Tuesday,36.94784881878118,Cloudy,135
22,Friday,34.879972154238516,Sunny,318
7,Tuesday,19.52594343630211,Cloudy,47
19,Thursday,38.58392582803883,Rainy,244
15,Monday,34.75602302246705,Cloudy,264
12,Saturday,29.989206575051192,Cloudy,236
17,Tuesday,13.652857333758243,Sunny,107
9,Monday,24.347020691442168,Rainy,74
18,Friday,25.183226645402527,Rainy,218
16,Monday,16.976540750961405,Rainy,134
23,Saturday,12.398961830779058,Rainy,226
18,Tuesday,33.30170891415078,Cloudy,255
22,Thursday,13.661051563731851,Rainy,191
4,Sunday,27.82872251685324,Cloudy,119
20,Friday,38.093475216509816,Cloudy,291
22,Tuesday,36.283155777941275,Cloudy,332
8,Saturday,18.332578712477833,Rainy,95
11,Friday,35.54345912653796,Sunny,220
20,Wednesday,10.009975183614682,Sunny,173
0,Monday,10.530634288397717,Rainy,0
0,Sunday,28.07659491528595,Sunny,122
14,Saturday,20.943946574335882,Sunny,201
1,Wednesday,21.593825234774414,Cloudy,20
21,Tuesday,26.933232720366476,Cloudy,280
15,Thursday,15.753473667755816,Rainy,92
7,Friday,16.352660519964353,Rainy,86
12,Monday,24.53804761056594,Sunny,159
20,Friday,32.62760633031589,Cloudy,247
0,Sunday,28.58493254222763,Rainy,101
15,Tuesday,18.920651447105165,Rainy,125
6,Friday,22.910115325267636,Rainy,69
4,Monday,15.119942756499952,Rainy,19
21,Tuesday,12.238894430112452,Rainy,184
22,Friday,33.48088122232448,Rainy,283
2,Thursday,17.961622275645837,Sunny,16
11,Saturday,15.332991635537446,Cloudy,131
15,Tuesday,30.74854166707958,Cloudy,205
18,Saturday,28.54155022861558,Rainy,247
4,Tuesday,28.99568878040392,Cloudy,127
21,Thursday,16.866838145398408,Cloudy,219
13,Saturday,16.97936615688043,Cloudy,159
4,Wednesday,16.624078893569173,Rainy,27
14,Monday,15.212577869868834,Rainy,122
16,Wednesday,29.67171017684969,Cloudy,196
13,Friday,35.44047655748204,Cloudy,218
19,Thursday,31.729524090299837,Rainy,289
4,Wednesday,33.76280901281629,Sunny,153
11,Tuesday,22.143952872555992,Cloudy,120
15,Friday,29.622273861159943,Sunny,206
15,Friday,20.627087213343238,Cloudy,150
20,Wednesday,25.7651386590592,Sunny,266
6,Wednesday,24.449045396045868,Sunny,134
3,Thursday,15.30661435431563,Sunny,38
0,Monday,21.612362810068923,Rainy,1
4,Wednesday,38.914668264470535,Sunny,145
22,Sunday,17.457407731448264,Sunny,263
9,Wednesday,14.01411208838466,Sunny,63
21,Saturday,22.55741864871806,Cloudy,224
4,Tuesday,33.71013207580444,Sunny,161
3,Sunday,27.464446893399167,Cloudy,87
1,Sunday,30.429244817147335,Sunny,105
19,Saturday,15.690845445240315,Sunny,231
9,Saturday,28.568445790231646,Rainy,181
18,Friday,19.705011847344213,Cloudy,193
0,Monday,35.02910097864303,Sunny,71
23,Tuesday,28.878964180322086,Cloudy,278
4,Thursday,15.965688333258878,Cloudy,16
12,Sunday,11.938500395322585,Rainy,98
3,Thursday,11.278996278610983,Rainy,1
15,Wednesday,21.142257029504222,Rainy,94
23,Wednesday,17.975534099629407,Rainy,201
15,Thursday,29.38270370387524,Rainy,177
22,Wednesday,24.98001504935855,Rainy,209
1,Monday,17.980578340161422,Rainy,1
16,Saturday,14.477133338505283,Rainy,124
19,Wednesday,13.815992880623487,Sunny,153
23,Friday,35.93981176421253,Cloudy,336
11,Wednesday,17.304339052146016,Rainy,116
17,Tuesday,29.55131943732905,Rainy,206
2,Monday,34.32057783958798,Cloudy,77
0,Tuesday,28.422439335542084,Sunny,48
0,Tuesday,35.78695694940838,Cloudy,109
18,Friday,21.771811645854235,Cloudy,201
10,Monday,38.68666571946845,Rainy,181
4,Monday,13.994350125342908,Cloudy,26
11,Monday,13.064485889726143,Cloudy,84
2,Monday,29.760764386223308,Rainy,89
0,Monday,38.28493424239785,Rainy,66
0,Friday,34.266503849089844,Rainy,44
7,Wednesday,12.292505783141543,Rainy,0
9,Tuesday,18.38103141804149,Cloudy,81
10,Monday,37.90956654513471,Cloudy,177
11,Sunday,17.591752984023536,Sunny,152
12,Wednesday,33.43511271360758,Sunny,207
11,Wednesday,34.75396587786111,Cloudy,172
13,Tuesday,24.863563103829453,Sunny,186
1,Friday,21.590467295449464,Cloudy,58
18,Thursday,23.50373297259279,Sunny,224
17,Thursday,16.808940830960925,Rainy,93
2,Wednesday,36.68172748386533,Sunny,163
22,Saturday,23.518589701892736,Rainy,272
16,Saturday,36.47378321368299,Rainy,301
7,Tuesday,13.170804397188222,Rainy,47
9,Thursday,39.64825813000394,Rainy,204
1,Wednesday,23.298192623308548,Sunny,50
18,Friday,11.434924611823163,Cloudy,141
8,Thursday,11.140655447123647,Rainy,33
6,Wednesday,32.38621772445516,Sunny,127
3,Wednesday,29.77106602611042,Rainy,77
20,Monday,34.063916743827626,Sunny,237
17,Friday,13.16102601858418,Sunny,156
12,Monday,11.06712601106645,Sunny,122
10,Tuesday,25.257378683427355,Cloudy,138
23,Monday,21.627856944483085,Sunny,292
3,Sunday,23.85840810012867,Sunny,94
20,Monday,39.74765226610822,Cloudy,328
3,Sunday,39.12249873012011,Cloudy,148
9,Thursday,38.26946169019578,Sunny,220
4,Saturday,33.51528030303022,Cloudy,152
8,Wednesday,20.645240807706713,Rainy,68
23,Sunday,22.36392790788315,Rainy,210
2,Friday,26.488481311567735,Cloudy,57
16,Monday,34.9160336921452,Cloudy,248
2,Sunday,12.061384975548034,Sunny,46
15,Friday,22.728906576546642,Cloudy,204
3,Saturday,12.47852990377806,Sunny,83
17,Saturday,25.439727597205348,Rainy,242
16,Monday,36.96702472018706,Cloudy,243
6,Tuesday,33.47454773691814,Sunny,141
23,Monday,16.8352725262933,Sunny,248
22,Thursday,39.27972548796377,Rainy,316
4,Sunday,30.02051194139285,Cloudy,162
11,Wednesday,10.312830981922092,Rainy,101
16,Tuesday,17.662404540556587,Sunny,213
22,Monday,17.8213989975975,Sunny,258
12,Friday,12.077629188575798,Cloudy,100
22,Tuesday,38.79479554227787,Sunny,360
2,Sunday,24.347658837277713,Cloudy,114
8,Tuesday,36.874437921156456,Rainy,151
16,Sunday,19.66646510333885,Cloudy,187
16,Monday,13.757007112984814,Cloudy,123
19,Sunday,24.230083297186418,Sunny,243
15,Tuesday,13.418699041429516,Sunny,109
21,Friday,24.580465089326196,Cloudy,247
12,Saturday,37.60891543658224,Sunny,238
18,Tuesday,25.623044255026382,Sunny,212
16,Sunday,28.494991806852504,Sunny,266
3,Saturday,14.69915310921425,Cloudy,47
11,Sunday,11.312068776399084,Sunny,125
8,Friday,13.32423886539421,Cloudy,83
18,Sunday,27.95594727053097,Sunny,287
11,Monday,12.85035096976914,Rainy,94
8,Wednesday,21.27978669823934,Sunny,107
6,Tuesday,26.50275821374468,Sunny,144
13,Wednesday,21.65958395889541,Cloudy,155
19,Sunday,14.910514043959044,Cloudy,207
18,Friday,18.213739225423197,Sunny,220
14,Tuesday,37.849525985457305,Rainy,201
15,Sunday,30.279468267590662,Sunny,291
20,Saturday,24.8814351603966,Sunny,268
4,Thursday,10.381446699606805,Rainy,0
2,Sunday,39.77246201468411,Cloudy,171
11,Wednesday,30.143648046839296,Sunny,173
19,Tuesday,19.50767432034835,Cloudy,238
20,Wednesday,36.378059799935144,Cloudy,283
3,Tuesday,17.752948608754544,Rainy,15
20,Sunday,26.320497375482546,Rainy,223
22,Monday,29.082122911894754,Cloudy,291
15,Saturday,16.631901143611856,Sunny,167
6,Sunday,39.35191836401788,Cloudy,210
12,Wednesday,32.44575717936993,Sunny,193
20,Thursday,26.734396765332097,Sunny,212
9,Thursday,15.417837945259027,Rainy,59
6,Friday,11.615746209940784,Sunny,39
13,Tuesday,19.601794975629502,Sunny,165
4,Wednesday,32.59562007740209,Cloudy,144
2,Friday,18.079938949060754,Rainy,38
22,Wednesday,26.186686614865152,Sunny,288
10,Tuesday,31.838415301922296,Sunny,184
10,Sunday,13.23831143939393,Rainy,57
17,Sunday,30.558940483476203,Cloudy,266
14,Thursday,12.756126631301342,Rainy,98
11,Sunday,38.95389226380989,Rainy,220
8,Sunday,24.651823901948188,Sunny,165
9,Monday,14.520283231296322,Sunny,105
11,Thursday,20.271509081006393,Cloudy,104
16,Friday,22.402493478857842,Sunny,175
5,Saturday,32.74555033229612,Sunny,160
6,Monday,32.30271358229828,Rainy,99
13,Friday,28.35821516011993,Sunny,158
12,Tuesday,13.177921376754789,Cloudy,75
7,Monday,14.547081147630207,Rainy,8
9,Friday,12.812707619366698,Cloudy,88
8,Tuesday,27.315183498626503,Rainy,140
17,Thursday,36.31415324534212,Sunny,249
1,Saturday,23.014015367643154,Rainy,55
4,Tuesday,14.825445218732387,Rainy,21
